1
31.50,31.50,30.75,31.00,31.00,31.25,30.75,29.25,
31.75,31.50,31.00,31.00,31.00,29.75,28.75,27.50,
31.25,31.25,31.25,30.50,30.00,28.75,27.00,29.75,
31.25,30.25,30.25,29.75,28.25,26.50,27.50,30.00,
31.25,29.50,29.75,29.25,27.50,26.50,29.00,28.50,
30.50,28.00,27.25,27.25,27.25,27.00,27.50,26.50,
30.00,29.00,26.75,26.75,26.75,26.75,26.25,26.00,
30.25,29.50,27.25,27.50,27.25,26.25,26.00,25.25,
31.75,31.50,31.25,31.50,31.25,31.25,31.50,30.00,
31.75,31.25,31.25,31.25,30.75,30.50,30.00,28.50,
31.50,31.25,31.00,30.25,30.50,29.75,27.75,28.25,
31.50,30.50,30.50,30.25,29.00,27.00,27.50,30.50,
31.50,30.75,30.25,30.25,28.00,26.50,28.75,29.25,
31.00,29.50,29.50,28.50,27.75,27.25,29.00,27.50,
30.25,28.50,27.25,27.25,27.50,26.75,26.50,26.50,
30.00,29.25,27.50,28.00,27.25,27.00,26.00,25.75,
31.50,30.75,31.00,31.00,30.50,29.50,30.25,30.00,
31.75,31.25,31.00,30.75,30.50,30.75,30.25,28.75,
31.25,31.50,31.00,30.50,30.25,30.25,29.50,27.75,
31.25,30.75,30.75,30.50,29.75,28.50,27.00,29.25,
31.25,30.75,30.25,29.75,28.25,26.50,28.25,29.25,
31.00,30.50,30.00,29.75,27.00,25.75,29.00,27.75,
29.75,29.25,29.00,28.00,26.75,27.25,27.75,26.50,
30.00,27.75,27.50,27.75,27.25,27.00,26.00,26.00,
30.75,31.00,31.00,31.00,30.50,29.00,30.00,29.75,
31.25,30.50,30.50,31.00,30.25,30.50,30.50,29.25,
31.25,31.00,31.00,30.50,30.50,30.00,29.25,27.50,
31.25,30.75,30.75,30.50,29.75,28.75,26.75,28.25,
31.25,31.00,30.50,30.00,28.75,27.00,28.00,29.50,
31.25,30.25,30.25,29.50,27.25,26.25,29.00,28.25,
30.00,29.75,29.75,28.50,27.25,27.25,28.75,26.75,
29.50,28.00,28.00,27.75,27.75,26.75,26.50,26.25,
31.00,31.25,30.50,30.75,30.00,28.50,29.00,29.00,
31.00,31.00,30.75,30.50,30.00,29.75,30.50,30.25,
31.00,31.00,30.50,30.25,30.50,30.75,29.00,28.25,
31.00,30.50,30.25,30.50,30.00,29.50,27.50,28.00,
31.25,30.75,30.50,30.50,29.50,27.50,27.75,29.25,
31.00,30.25,30.00,29.75,27.25,26.25,29.00,28.75,
31.00,30.25,29.75,29.00,26.50,27.00,28.50,26.75,
29.00,28.50,29.00,28.25,27.25,27.00,27.00,26.50,
30.75,31.00,31.00,30.50,29.75,29.00,29.00,29.00,
31.00,30.50,30.50,30.25,29.75,29.00,30.00,30.25,
30.75,30.75,30.25,30.00,30.50,30.75,29.75,27.75,
31.00,30.75,30.50,30.00,29.50,30.00,28.50,28.00,
31.00,31.25,30.50,30.25,29.75,28.25,26.50,28.75,
31.00,30.25,29.75,29.75,28.00,26.50,28.50,28.75,
30.25,30.00,29.75,29.50,27.25,26.00,29.00,27.00,
29.50,29.00,29.25,28.50,27.25,27.25,27.25,26.50,
31.00,31.25,30.75,31.00,30.25,28.75,29.75,29.00,
31.25,30.75,30.75,30.50,30.25,28.50,30.25,30.50,
31.25,31.00,31.00,30.25,30.75,30.75,30.00,28.00,
31.00,30.75,30.50,30.25,30.25,30.00,28.75,27.75,
31.00,30.75,30.00,30.75,29.75,28.25,26.50,29.25,
31.25,30.50,30.00,30.00,28.25,26.50,28.25,28.50,
